Pre.,Clac.,Error,SMILES
3.161045933,2.964765474,0.062093517,CC(C)(c1ccc(C(=O)Oc2ccc3c(c2)C(=O)N(*)C3=O)cc1)c1ccc(C(=O)Oc2ccc3c(c2)C(=O)N(c2ccc(C(=O)c4ccc(/C=C/c5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1
2.880914144,2.888476846,0.002625105,O=C(OCc1ccc(SSc2ccc(COC(=O)c3ccc4c(c3)C(=O)N(c3ccc(C(=O)c5ccc(Cc6ccc(C(=O)c7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
3.604003564,3.505754388,0.027261121,C[Si](C)(c1ccc(C(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1)c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(-c4ccc(C#CC#Cc5ccc(-c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1
3.855523889,3.430425865,0.110256877,O=C(Oc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(-c2ccc(-c3ccc(C(=O)Oc4ccc5c(c4)C(=O)N(c4ccc(C(=O)c6ccc(/C=N/N=C/c7ccc(C(=O)c8ccc(*)cc8)cc7)cc6)cc4)C5=O)cc3)cc2)cc1
3.083344719,2.853744068,0.074464801,O=C(NCc1ccc(-c2ccc(-c3ccc(CNC(=O)c4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)s2)cc1)c1ccc(*)cc1
2.731045989,2.842218197,0.040706824,O=C(OCc1ccc(C(O)C(O)c2ccc(COC(=O)c3ccc4c(c3)C(=O)N(c3ccc(OCc5ccc(COCOCc6ccc(COc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
3.151257519,3.313744959,0.05156273,O=C1/C(=C/c2ccc(COc3ccc4c(c3)C(=O)N(*)C4=O)cc2)CC/C1=C\c1ccc(COc2ccc3c(c2)C(=O)N(c2ccc(-c4ccc(/C=C/C(O)/C=C/c5ccc(-c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1
3.409153876,3.891472972,0.141477655,O=C(Nc1ccc(*)cc1)c1ccc(/C=C/c2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(NC(=O)c6ccc(CSCc7ccc(C(=O)Nc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1
3.073724667,3.03810819,0.0115874,O=C(c1ccc(*)cc1)c1ccc(-c2ccc(-c3ccc(C(=O)c4ccc(N5C(=O)c6ccc(COCOCc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1
2.888500131,2.873079985,0.005338461,CP(c1ccc(COc2ccc(*)cc2)cc1)c1ccc(COc2ccc(N3C(=O)c4ccc(C(=O)OCc5ccc(-c6ccc(-c7ccc(COC(=O)c8ccc9c(c8)C(=O)N(*)C9=O)cc7)s6)cc5)cc4C3=O)cc2)cc1
